电影名,score,类型,上映时间,时长,tagline,简介
交换家庭,61.0,喜剧/剧情/家庭/爱情,2023-07-28,178,The power of family will decide the fate of love,这是一个感性的爱情故事，讲述了一个来自富有的上层阶级家庭的男孩、丹拉克西米企业的继承人，住在古尔冈一座名为“古尔冈之家”的豪华豪宅里，和一个住在破烂堡垒里的中产阶级女孩之间的故事。 他们彼此相爱，但他们的父母对这种结合不满意。
致命游戏,49.0,恐怖/动作,2025-02-03,85,简介,"A group of hunters travel to a mysterious island to track down a legendary forest creature. They soon realize their guide has set them up as bait, forcing them to confront a highly intelligent predator that terrorizes them one by one."
铁血战士：杀戮之地,78.0,动作/科幻/冒险,2025-11-06,107,初猎，终局,一名外星猎手被所属部族驱逐后，意外与一台受损的机器人结为盟友，随后踏上险象环生的旅程，寻找自己的终极宿敌。
女士优先,60.0,喜剧/奇幻,2026-05-22,94,简介,达米安看似拥有一切：金钱、权力，和源源不断的艳遇。但就在即将升任顶尖广告公司的首席执行官之际，人生突然遭逢剧变。他苏醒过来，发现竟置身于自己最害怕的恶梦：一个由女性主宰的平行世界。曾经他在董事会议室里呼风唤雨，如今却人微言轻，还和变得强悍大胆的同事艾莉克斯起了冲突。随着游戏规则改变，艾莉克斯大权在握，这两人激烈争斗，共同演绎出这部想象权力结构翻转的趣味讽刺喜剧。
7 Dogs,40.0,动作/喜剧,2026-05-27,123,Not all dogs stay loyal.,Interpol agent Khalid Al-Azzazi joins forces with Ghali Abu Dawood from the 7 Dogs crime syndicate to fight drug trafficking.
末日逃生2：迁移,64.0,冒险/惊悚/科幻,2026-01-08,95,Hope is uncharted territory.,由于宇宙中的两颗彗星正面撞击了地球，致使地表生态遭遇毁灭性打击，造成恶劣后果。全人类不得不躲藏在地堡中求得生存。身为科学家的加里蒂带着一家人劫后余生，幸存了下来。虽然他们躲过了第一波的冲击，但是他们所在的地堡中剩余的生活物资逐渐减少，其他幸存的人类也开始蠢蠢欲动。迫于压力这一家人必须离开格陵兰岛的安全掩体，开始踏上危险的旅程。在这一路上他们无奈的发现，整个欧洲已经被毁灭，变成了冰冻荒地。于是一家人只能再次被迫上路……
1000个男生与我：Bonnie Blue的故事,57.0,纪录/电视电影,2025-07-29,60,简介,"Adult content creator Bonnie Blue announced that she’d slept with 1057 men in 12 hours. Exploring the polarising debate around Bonnie and the pornification of our society, the film follows her over the most eye-opening six months of her life."
体制,75.0,惊悚,2026-05-22,123,简介,身为特权阶层的年轻女检察官内哈为了摆脱身上“靠爹上位”的标签，试图走出位高权重、专门帮富豪洗脱罪名的精英律师父亲的阴影。在被挑战必须连续胜诉十场案件后，她与一位精明世故、在底层摸爬滚打的法庭速记员萨里卡联手，在男性主导的司法界中为弱者发声。然而随着代理的案件层层剥开，内哈震惊地发现，所有的罪恶线索最终都指向了自己那利用法律漏洞操纵“体制”、包庇权贵的亲生父亲，两人随即在法庭上展开了一场关于正义与血缘的终极对决。
爱情抓马,70.0,爱情/喜剧/剧情,2026-04-16,105,Witness the wedding of the year.,来自波士顿的情侣艾玛·哈伍德（赞达亚·科尔曼 饰）和查理·汤普森（罗伯特·帕丁森 饰）既美丽又迷人，有着高雅而知性的气质，而且彼此深爱着对方。虽然他们恋爱的初期有些尴尬，比如查理在追求艾玛时犯了不少错，但这些都不过是浪漫故事中的有趣插曲罢了。他们即将步入婚姻的殿堂。但还有些最后的准备工作要做，比如确定婚礼菜单、撰写婚誓等等。可要想获得幸福的婚姻并不容易。他们的矛盾源于一场看似轻松愉快的派对游戏。艾玛和查理喝醉了，他们还想再喝一杯酒。他们的挚友瑞秋（阿拉娜·哈伊姆 饰）和她的丈夫迈克（马莫多·阿西 饰）也参与了这次聚会。瑞秋怂恿大家说出自己做过的最糟糕的事，这样就能让大家的心灵得到净化，为艾玛和查理的下一步行动铺平道路。迈克犯下的最糟糕的错误是缺乏绅士风度；瑞秋则回忆起了自己童年时犯下的小恶行；查理的经历则是一段比较无伤大雅的网络闹剧；而艾玛所揭露的内容却让众人震惊。
温暖的夜晚,36.0,喜剧,1969-01-01,94,简介,Poppea's Hot Nights (Italian: Le calde notti di Poppea) is a 1969 Italian comedy film set in Ancient Rome. It was written and directed by Guido Malatesta and stars Olga Schoberová (credited as Olinka Berova) and Brad Harris in the main roles.
少女,66.0,剧情/爱情,2024-10-29,99,简介,18 岁的少女艾丽斯为了经济利益与富有的鳏夫华金达成了一场权宜婚姻。然而，她关于贞洁的谎言被揭穿，导致蜜月一塌糊涂。
尸杀禁区,66.0,动作/惊悚/恐怖,2026-05-27,123,简介,因不明感染事件被封锁在一栋大楼内的幸存者们，与以不可预测形态进化的感染者展开殊死搏斗。
The Last Supper,100.0,恐怖,2026-04-03,87,Some Debts Can Only Be Eaten Away,"In a deserted house, a mysterious man savors an exquisite menu in the company of an unseen guest. From this eerie dinner table, a succession of terrifying stories is revealed-each probing primal fears of hunger, flesh, and survival."
小女孩莫妮卡,47.0,爱情/剧情,1974-02-28,93,简介,莫妮卡是一个漂亮的16岁少女。她不但吸引了所有的男同学，也吸引了成年的男人。莫妮卡和一个男孩尼奥发生了关系，但是她不知道尼奥其实是一个拉皮条的，他勾引女孩卖身只是为了给他赚钱。尼奥的一个嫖客喜欢上了莫妮卡，他想为莫妮卡赎身。但莫妮卡已经喜欢上了她的艺术教授。然而这个教授也有不为人知的秘密……
世界大战,41.0,科幻/惊悚,2025-07-30,145,Your data is deadly.,威尔·拉德福德是国土安全部的顶级网络安全分析师，他通过大规模监控项目追踪国家安全的潜在威胁。直到有一天，一个不明实体的攻击让他开始怀疑政府是否对他……以及世界其他地方隐瞒了什么。
玩具总动员 5,,动画/家庭/喜剧/冒险,2026-06-18,0,,
迈克尔·杰克逊：偶像的一生,81.0,纪录/音乐,2011-11-02,149,简介,这部纪录片将呈现迈克尔最亲密朋友和家人口中的故事，铺开公开和私人的回忆，并将首度公开部分前所未见的家庭照片和演出视频。这部电影也将关注迈克尔人生中最困难的时期，包括因为娈童案而被捕和接受审判，以及2005年的审判是怎样影响了他和家人的生活。这部由迈克尔的挚友执导的影片，得到了杰克逊家族的认可，首度披露了众多珍贵私藏影像，从“杰克逊五兄弟”时代，到不断受丑闻困扰的流行巨星，迈克尔到底是神还是人......
Accidental Partners,91.0,喜剧/爱情,2026-03-12,110,简介,Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge.
我的过错,77.0,剧情/爱情/惊悚,2023-06-08,117,Love can only survive in the shadow of secrets.,诺亚被迫离开她的小镇、男友和朋友，搬进了她母亲的新丈夫的豪宅。在那里，她遇见了她的新继兄尼克，两人的性格从一开始就发生了碰撞。然而他们对彼此的吸引却渐渐演变成一段禁忌的恋情，在这期间，他们叛逆的性格和磨人的脾气颠覆了彼此的世界，并致使他们疯狂地坠入了爱河。
绵羊侦探团,76.0,喜剧/家庭/悬疑,2026-05-07,109,A new breed of mystery.,改编自Leonie Swann的畅销小说，讲述牧羊人乔治（休·杰克曼 Hugh Jackman 饰）热爱自己的羊儿们，他养羊只是为了薅羊毛，并且每晚都会给羊大声朗读一则谋杀疑案故事，装作它们能听懂——其实它们真的能听懂，并且在听完故事后会热烈讨论争吵几小时。所以当此后，乔治神秘死去，羊儿们马上就知道：这是一场谋杀！而另一方面，当地的警察（尼可拉斯·博朗 Nicholas Braun 饰）则这辈子都没处理过真正严重的谋杀案。于是，羊儿们决定自己出手去破解这场悬案。但这也意味着它们必须羊生第一次离开这片草地，直面不像书里写的那么简单的人类世界。
德古拉,71.0,恐怖/奇幻/爱情,2025-07-30,130,"He renounced his faith to become immortal. Passion, anger, vengeance, and hatred will be unleashed into the modern world.",故事讲述 15 世纪的弗拉基米尔王子，在爱妻离世后诅咒上帝，最终化作吸血鬼；此后在 19 世纪的伦敦，他遇见了与妻子容貌一模一样的分身，却因执意追寻她而自取毁灭。
请求救援,70.0,恐怖/惊悚/喜剧,2026-01-29,113,认识一下琳达·利德尔……她来自战略规划部门。现在她是我们的上司了。,当求生变成猎杀，谁会是最终的幸存者？ 一架飞机失事后，作为同事的两名幸存者被困在荒岛上。他们必须放下过往恩怨、共同求生，但最终演变成一场不安又黑色幽默的意志与智慧对决……
Kesong Puti,55.0,剧情,2026-04-24,0,简介,"Have a taste of VMX Newest Temptation Apphle Celso. Lena, a Kesong Puti vendor, meets a charming dairy supplier Manny. Their chemistry sparks a daring secret that transforms her humble cheese into their town’s obsession."
罗马的房子,64.0,剧情/爱情,2010-05-07,109,A night of passion that will change their lives.,影片上翻拍自一部智利2005年的电影《在床上》，但是导演将原片中的一男一女的结构变成了两个女孩的相遇。  　　初夏的第一个夜晚，拥有两个孩子的西班牙母亲阿尔芭(埃琳纳·安娜亚 Elena Anaya 饰)，一周后即将嫁人的俄罗斯女孩娜塔莎(娜塔莎·亚罗温科 Natasha Yarovenko 饰)，在意大利那充满古韵的首都罗马相遇。两个女人的秘密，就这样绽放在一个罗马的房间。爱神的箭从天际射向了她们，欲望也为她们开拓了一个暧昧又趣味的时刻，使两人初相识的隐瞒与防卫心，竟开始逐一融。两个女人的心事，就这样交融在这样一个沁凉的初夏。这是一场持续了12个小时的爱欲盛宴，它穿过了深夜、一直到天亮。清晨的降临，预示着彼此的分离，她们要去面对现实生活与精神自由的考验。罗马这座城市终究会变成她们一个中转站，还是一个新的起点？
穿普拉达的女王2,66.0,喜剧/剧情,2026-04-30,119,Icons reign forever.,随着传统出版业的式微，时尚女王米兰达在职业生涯中迎来新挑战。她不得不与手握广告预算的曾经的助理，如今已是奢侈品牌集团高管的艾米莉正面交锋。两人在行业变局中展开了一场关乎权力与生存的较量。
我的挚爱杀手,86.0,动作/剧情/爱情,2026-05-07,128,"Love, Sacrifice and Vengeance.",年轻女子因拥有罕见血型而遭人追捕，自小被杀手家族扶养长大。当复仇心切的敌人为了她的血再度现身，她决心与挚爱并肩作战，为自由奋战到底。
复仇者联盟3：无限战争,82.0,冒险/动作/科幻,2018-04-26,156,十年布局 巅峰一役,随着复仇者联盟及其盟友继续保护世界免受来自任何单一英雄难以承担的威胁，一个新的危险从宇宙的阴影中浮现——灭霸。作为一个星际恶名昭彰的暴君，他的目标是收集所有六颗无限宝石，这些宝石拥有难以想象的力量，并利用它们将扭曲的意志强加于现实的每一个角落。复仇者们为此奋斗的一切都指向了这一刻——地球和整个存在的命运从未如此不确定。
复仇者联盟,80.0,科幻/动作/冒险,2012-05-01,142,群侠集结 终极一战,一股突如其来的强大邪恶势力对地球造成致命威胁，没有任何一个超级英雄能够单独抵挡。长期致力于保护全球安危的神盾局感到措手不及，其指挥官尼克·弗瑞意识到他必须创建一个“史上最强”的联盟组织， 云集各方超级英雄一起发威，才能拯救世界于水深火热，抵御黑暗势力的侵袭。于是由六大超级英雄——“钢铁侠”、“雷神” 、“美国队长”、“绿巨人” 、“黑寡妇”和“鹰眼”组成的 “复仇者联盟”应运而生。他们各显神通，团结一心，终于战胜了邪恶势力，保证了地球的安全。
